vendorID,passengerCount,tripDistance,paymentType,pickupHour
1,2,11.8,2,14
1,1,5.7,1,0
2,2,3.18,2,20
2,1,1.96,1,21
1,1,1.1,2,21
1,1,4.5,2,11
2,1,2.02,1,15
1,1,0.9,2,15
1,2,1.4,1,23
1,2,2.4,2,8
1,1,1.5,2,11
1,1,0.6,1,20
2,1,1.96,1,19
2,1,1.5,1,17
1,1,2.0,2,3
2,6,1.52,1,2
2,2,3.0,1,13
2,2,0.41,2,15
2,1,0.64,1,13
1,1,0.9,1,13
